num	aa	ab	ac	ba	bb	bc	ca	cb	cc
505	0	-1	1	-1	-1	1	-1	-1	-1
1234	0	-1	1	-1	-1	1	0	-1	-1
1262	1	-1	1	0	-1	1	0	-1	-1
1991	1	-1	1	0	-1	1	1	-1	-1
3103	0	1	1	-1	1	-1	0	0	-1
5290	0	1	1	-1	1	-1	0	1	-1
7066	0	-1	1	-1	-1	1	-1	-1	0
7174	0	-1	1	0	0	1	-1	-1	0
7507	0	-1	-1	1	1	-1	0	-1	0
7530	-1	1	1	1	1	-1	0	-1	0
7795	0	-1	1	-1	-1	1	0	-1	0
7822	0	-1	1	0	-1	1	0	-1	0
7823	1	-1	1	0	-1	1	0	-1	0
7850	1	-1	1	1	-1	1	0	-1	0
7903	0	-1	1	0	0	1	0	-1	0
7904	1	-1	1	0	0	1	0	-1	0
7931	1	-1	1	1	0	1	0	-1	0
7944	-1	1	-1	-1	1	1	0	-1	0
7945	0	1	-1	-1	1	1	0	-1	0
7984	0	-1	1	0	1	1	0	-1	0
8010	-1	-1	1	1	1	1	0	-1	0
8011	0	-1	1	1	1	1	0	-1	0
8073	-1	-1	-1	1	-1	-1	1	-1	0
8151	-1	1	1	0	0	-1	1	-1	0
8232	-1	1	1	0	1	-1	1	-1	0
8259	-1	1	1	1	1	-1	1	-1	0
8631	-1	-1	1	0	0	1	1	-1	0
8632	0	-1	1	0	0	1	1	-1	0
8633	1	-1	1	0	0	1	1	-1	0
8659	0	-1	1	1	0	1	1	-1	0
8660	1	-1	1	1	0	1	1	-1	0
8673	-1	1	-1	-1	1	1	1	-1	0
8674	0	1	-1	-1	1	1	1	-1	0
8739	-1	-1	1	1	1	1	1	-1	0
8740	0	-1	1	1	1	1	1	-1	0
8741	1	-1	1	1	1	1	1	-1	0
8803	0	-1	-1	1	-1	-1	-1	0	0
8884	0	-1	-1	1	0	-1	-1	0	0
9280	0	-1	1	0	-1	1	-1	0	0
9362	1	-1	1	0	0	1	-1	0	0
9430	0	1	-1	0	1	1	-1	0	0
9443	1	-1	1	0	1	1	-1	0	0
9469	0	-1	1	1	1	1	-1	0	0
9532	0	-1	-1	1	-1	-1	0	0	0
9612	-1	-1	-1	1	0	-1	0	0	0
9613	0	-1	-1	1	0	-1	0	0	0
9614	1	-1	-1	1	0	-1	0	0	0
9693	-1	-1	-1	1	1	-1	0	0	0
9694	0	-1	-1	1	1	-1	0	0	0
9695	1	-1	-1	1	1	-1	0	0	0
9969	-1	1	-1	-1	-1	1	0	0	0
10037	1	-1	1	1	-1	1	0	0	0
10050	-1	1	-1	-1	0	1	0	0	0
10051	0	1	-1	-1	0	1	0	0	0
10052	1	1	-1	-1	0	1	0	0	0
10063	0	-1	1	-1	0	1	0	0	0
10079	1	1	-1	0	0	1	0	0	0
10089	-1	-1	1	0	0	1	0	0	0
10091	1	-1	1	0	0	1	0	0	0
10106	1	1	-1	1	0	1	0	0	0
10117	0	-1	1	1	0	1	0	0	0
10118	1	-1	1	1	0	1	0	0	0
10131	-1	1	-1	-1	1	1	0	0	0
10132	0	1	-1	-1	1	1	0	0	0
10133	1	1	-1	-1	1	1	0	0	0
10144	0	-1	1	-1	1	1	0	0	0
10197	-1	-1	1	1	1	1	0	0	0
10198	0	-1	1	1	1	1	0	0	0
10199	1	-1	1	1	1	1	0	0	0
10261	0	-1	-1	1	-1	-1	1	0	0
10339	0	1	1	0	0	-1	1	0	0
10341	-1	-1	-1	1	0	-1	1	0	0
10342	0	-1	-1	1	0	-1	1	0	0
10343	1	-1	-1	1	0	-1	1	0	0
10420	0	1	1	0	1	-1	1	0	0
10422	-1	-1	-1	1	1	-1	1	0	0
10423	0	-1	-1	1	1	-1	1	0	0
10424	1	-1	-1	1	1	-1	1	0	0
10698	-1	1	-1	-1	-1	1	1	0	0
10779	-1	1	-1	-1	0	1	1	0	0
10780	0	1	-1	-1	0	1	1	0	0
10781	1	1	-1	-1	0	1	1	0	0
10846	0	-1	1	1	0	1	1	0	0
10847	1	-1	1	1	0	1	1	0	0
10860	-1	1	-1	-1	1	1	1	0	0
10861	0	1	-1	-1	1	1	1	0	0
10862	1	1	-1	-1	1	1	1	0	0
10926	-1	-1	1	1	1	1	1	0	0
10927	0	-1	1	1	1	1	1	0	0
10990	0	-1	-1	1	-1	-1	-1	1	0
11071	0	-1	-1	1	0	-1	-1	1	0
11549	1	-1	1	0	0	1	-1	1	0
11617	0	1	-1	0	1	1	-1	1	0
11630	1	-1	1	0	1	1	-1	1	0
11656	0	-1	1	1	1	1	-1	1	0
11665	0	-1	-1	-1	-1	-1	0	1	0
11719	0	-1	-1	1	-1	-1	0	1	0
11771	1	1	1	-1	0	-1	0	1	0
11797	0	1	1	0	0	-1	0	1	0
11799	-1	-1	-1	1	0	-1	0	1	0
11800	0	-1	-1	1	0	-1	0	1	0
11801	1	-1	-1	1	0	-1	0	1	0
11878	0	1	1	0	1	-1	0	1	0
