num	aa	ab	ac	ba	bb	bc	ca	cb	cc
3346	0	1	1	-1	1	0	0	0	-1
5533	0	1	1	-1	1	0	0	1	-1
5563	0	-1	-1	1	1	0	0	1	-1
6292	0	-1	-1	1	1	0	1	1	-1
6966	-1	-1	-1	-1	1	0	-1	-1	0
6967	0	-1	-1	-1	1	0	-1	-1	0
6969	-1	0	-1	-1	1	0	-1	-1	0
6970	0	0	-1	-1	1	0	-1	-1	0
7038	-1	-1	1	1	1	0	-1	-1	0
7039	0	-1	1	1	1	0	-1	-1	0
7209	-1	-1	-1	-1	1	1	-1	-1	0
7210	0	-1	-1	-1	1	1	-1	-1	0
7212	-1	0	-1	-1	1	1	-1	-1	0
7213	0	0	-1	-1	1	1	-1	-1	0
7257	-1	0	1	0	1	1	-1	-1	0
7258	0	0	1	0	1	1	-1	-1	0
7288	0	1	1	1	1	1	-1	-1	0
7456	0	0	-1	-1	1	-1	0	-1	0
7458	-1	1	-1	-1	1	-1	0	-1	0
7459	0	1	-1	-1	1	-1	0	-1	0
7524	-1	-1	1	1	1	-1	0	-1	0
7525	0	-1	1	1	1	-1	0	-1	0
7527	-1	0	1	1	1	-1	0	-1	0
7528	0	0	1	1	1	-1	0	-1	0
7696	0	-1	-1	-1	1	0	0	-1	0
7699	0	0	-1	-1	1	0	0	-1	0
7767	-1	-1	1	1	1	0	0	-1	0
7768	0	-1	1	1	1	0	0	-1	0
7770	-1	0	1	1	1	0	0	-1	0
7771	0	0	1	1	1	0	0	-1	0
7773	-1	1	1	1	1	0	0	-1	0
7939	0	-1	-1	-1	1	1	0	-1	0
7941	-1	0	-1	-1	1	1	0	-1	0
7942	0	0	-1	-1	1	1	0	-1	0
7961	1	0	1	-1	1	1	0	-1	0
7986	-1	0	1	0	1	1	0	-1	0
7988	1	0	1	0	1	1	0	-1	0
7990	0	1	1	0	1	1	0	-1	0
7991	1	1	1	0	1	1	0	-1	0
8013	-1	0	1	1	1	1	0	-1	0
8014	0	0	1	1	1	1	0	-1	0
8015	1	0	1	1	1	1	0	-1	0
8425	0	-1	-1	-1	1	0	1	-1	0
8428	0	0	-1	-1	1	0	1	-1	0
8496	-1	-1	1	1	1	0	1	-1	0
8497	0	-1	1	1	1	0	1	-1	0
8499	-1	0	1	1	1	0	1	-1	0
8500	0	0	1	1	1	0	1	-1	0
8502	-1	1	1	1	1	0	1	-1	0
8503	0	1	1	1	1	0	1	-1	0
8668	0	-1	-1	-1	1	1	1	-1	0
8670	-1	0	-1	-1	1	1	1	-1	0
8671	0	0	-1	-1	1	1	1	-1	0
8689	0	0	1	-1	1	1	1	-1	0
8690	1	0	1	-1	1	1	1	-1	0
8715	-1	0	1	0	1	1	1	-1	0
8716	0	0	1	0	1	1	1	-1	0
8717	1	0	1	0	1	1	1	-1	0
8742	-1	0	1	1	1	1	1	-1	0
8743	0	0	1	1	1	1	1	-1	0
9159	-1	1	-1	-1	1	0	-1	0	0
9160	0	1	-1	-1	1	0	-1	0	0
9713	1	-1	1	1	1	-1	0	0	0
9906	-1	1	1	-1	1	0	0	0	0
9907	0	1	1	-1	1	0	0	0	0
9936	-1	-1	-1	1	1	0	0	0	0
9937	0	-1	-1	1	1	0	0	0	0
9938	1	-1	-1	1	1	0	0	0	0
9954	-1	-1	1	1	1	0	0	0	0
9955	0	-1	1	1	1	0	0	0	0
9956	1	-1	1	1	1	0	0	0	0
10179	-1	-1	-1	1	1	1	0	0	0
10180	0	-1	-1	1	1	1	0	0	0
10181	1	-1	-1	1	1	1	0	0	0
10618	0	1	-1	-1	1	0	1	0	0
10665	-1	-1	-1	1	1	0	1	0	0
10666	0	-1	-1	1	1	0	1	0	0
10667	1	-1	-1	1	1	0	1	0	0
10683	-1	-1	1	1	1	0	1	0	0
10684	0	-1	1	1	1	0	1	0	0
10908	-1	-1	-1	1	1	1	1	0	0
